"Status","Name","Duration in ms","Description"
"passed","test_scripts.test_invalid_login#test_TC001_valid_login_test[Chrome]","5149",""
"passed","test_scripts.test_invalid_login#test_TC001_valid_login_test[Firefox]","13591",""
"passed","test_scripts.test_valid_login#test_TC001_valid_login_test[Firefox]","20519",""
"passed","test_scripts.test_verify_prodcut#test_TC001_valid_login_test[Firefox]","24554",""
"passed","test_scripts.test_verify_prodcut#test_TC001_valid_login_test[Chrome]","20193",""
"passed","test_scripts.test_valid_login#test_TC001_valid_login_test[Chrome]","26095",""
"passed","test_scripts.test_sample#test_script_one","1044",""
"passed","test_scripts.test_invalid_login#test_TC001_valid_login_test","4024",""
"passed","test_scripts.test_verify_prodcut#test_TC001_valid_login_test","11414",""
"passed","test_scripts.test_valid_login#test_TC001_valid_login_test","11632",""
